date,day,district,month,pet_mm,precip_mm,year
2018-09-12,12,Itezhi-Tezhi,9,-12.162245048123076,-999.0,2018
2018-09-13,13,Itezhi-Tezhi,9,-12.185821972895694,-999.0,2018
2018-09-14,14,Itezhi-Tezhi,9,-13.642980069044192,-999.0,2018
2018-09-15,15,Itezhi-Tezhi,9,-14.52180939253002,-999.0,2018
2018-09-16,16,Itezhi-Tezhi,9,-15.2898960667267,-999.0,2018
2018-09-17,17,Itezhi-Tezhi,9,-14.621849269500032,-999.0,2018
2018-09-18,18,Itezhi-Tezhi,9,-15.356002371803594,-999.0,2018
2018-09-19,19,Itezhi-Tezhi,9,-15.240914386080057,-999.0,2018
2018-09-20,20,Itezhi-Tezhi,9,-15.757231534184704,-999.0,2018
2018-09-21,21,Itezhi-Tezhi,9,-15.893883860798798,-999.0,2018
